search_term,zip,status,price_usd,beds,baths,sqft,address,mls
downtown austin,78701,Active,399000,1,2,1189,"1801 Lavaca ST # 2D, Austin TX, 78701",1454585
downtown austin,78701,Active,569000,1,1,685,"222 West Ave # 1609, Austin TX, 78701",5786938
downtown austin,78701,Active,699900,2,2,998,"360 Nueces ST # 2004, Austin TX, 78701",1261483
downtown austin,78701,Active,870000,2,2,1244,"360 Nueces ST # 2509, Austin TX, 78701",2629904
downtown austin,78701,Active,1059000,2,2,1260,"44 East Ave # 2610, Austin TX, 78701",6405164
downtown austin,78701,Active,1340000,2,3,1755,"555 E 5th ST # 2901, Austin TX, 78701",7215617
downtown austin,78701,Active,1838000,3,3,2144,"84 East Ave # 3906, Austin TX, 78701",3854619
downtown austin,78701,Active,2420000,3,4,2118,"44 East Ave # 4201, Austin TX, 78701",6556972
downtown austin,78701,Active,2750000,3,3,2517,"501 West Ave # 3201, Austin TX, 78701",4052870
