id,title,kind,category,address,neighborhood,rating,reviewCount,priceLabel,lat,lng,googleMapsUrl,googlePlaceId,source,active,tags
veracruz-all-natural-def28780,Veracruz All Natural,hotel,Cambria Hotel Austin Downtown,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['duplicate-title-review', 'needs-google-places-enrichment', 'needs-address']"
tacowey-rainey-7e45ee4a,Tacowey Rainey,mobility,Flash Charging Station,,Rainey,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address', 'consider-hide-from-resident-default']"
fairfield-by-marriott-inn-and-suites-austin-downtown-16e5e138,Fairfield by Marriott Inn & Suites Austin Downtown,hotel,The Sub Shop at Banger's,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
bungalow-17febb90,Bungalow,venue,,84 E. Gallery + Goods,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,['needs-google-places-enrichment']
crazy-conchaz-fdc0cbd4,Crazy Conchaz,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
the-quincy-45cb4b28,The Quincy,wellness,Bamford Wellness Spa,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
neighbors-cafe-aee1725f,Neighbors Cafe,cafe,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
taco-baby-72f97f6f,Taco Baby,bar,Iron Works Barbecue,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
fairmont-austin-parking-parkchirp-103efcfc,Fairmont Austin Parking - ParkChirp,hotel,FedEx Office Print & Ship Center,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address', 'consider-hide-from-resident-default']"
good-things-aba7114a,Good Things,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
garrison-569302bf,Garrison,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
rush-my-passport-045743eb,Rush My Passport,wellness,SPA,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
fulton-729fb838,Fulton,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
room-725-eda14c53,Room 725,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
moonshine-grill-9f4af882,Moonshine Grill,civic,Kinfolk Cocktail Lounge & Spirits Library,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
frontera-tours-river-tubing-f0a1aa98,Frontera Tours River Tubing,experience,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
the-cut-atx-5d6f9d60,The Cut ATX,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
the-escape-game-austin-336048e1,The Escape Game Austin,experience,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
big-chiller-blues-c90f432a,Big Chiller Blues,civic,Central District Brewing,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
starbucks-1b45ebf7,Starbucks,civic,O. Henry Museum,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
residence-inn-by-marriott-austin-downtown-convention-center-197cb7dc,Residence Inn by Marriott Austin Downtown/Convention Center,property,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
austin-bachelorette-party-studio-goddess-bd1724b1,Austin Bachelorette Party - Studio Goddess,experience,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
brazos-hall-dd677b8c,Brazos Hall,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
twisted-texas-tour-04f3fc67,Twisted Texas Tour,retail,Modern Market Eatery - Frost Tower,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
vibrancy-guitar-statue-20455fe4,Vibrancy guitar statue,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
houndstooth-coffee-748b3f38,Houndstooth Coffee,cafe,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
the-onion-96154342,The Onion,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
