category,filename,usage
"Bars And Restaurants","bars-and-restaurants.svg","Downtown Perks map category pin icon"
"Hotels","hotels.svg","Downtown Perks map category pin icon"
"Culture And Entertainment","culture-and-entertainment.svg","Downtown Perks map category pin icon"
"Fitness","fitness.svg","Downtown Perks map category pin icon"
"Grocery And Pharmacy","grocery-and-pharmacy.svg","Downtown Perks map category pin icon"
"Metro","metro.svg","Downtown Perks map category pin icon"
"EV Charging","ev-charging.svg","Downtown Perks map category pin icon"
