kind,name,search_query,commons_file,commons_page,source_url,original_path,out_webp,mime,width,height,license,license_url,artist,credit,status,note
building,Five Fifty Five,Five Fifty Five Austin,"File:Mexican boy drinking out of water faucet. There were five of these faucets to supply water for about fifty Mexican families averaging five members each. They live in five units. Robstown, Texas.jpg",https://commons.wikimedia.org/wiki/File%3AMexican_boy_drinking_out_of_water_faucet._There_were_five_of_these_faucets_to_supply_water_for_about_fifty_Mexican_families_averaging_five_members_each._They_live_in_five_units._Robstown%2C_Texas.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Mexican_boy_drinking_out_of_water_faucet._There_were_five_of_these_faucets_to_supply_water_for_about_fifty_Mexican_families_averaging_five_members_each._They_live_in_five_units._Robstown%2C_Texas.jpg,public/assets-originals/buildings/five-fifty-five.jpg,public/buildings/five-fifty-five.webp,image/jpeg,623,759,Public domain,,Russell Lee,This image  is available from the United States Library of Congress's Prints and Photographs division under the digital ID fsa.8b37298.This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing.,ok,
building,The Monarch,The Monarch Austin,"File:The Monarch, Austin, TX, cropped.JPG",https://commons.wikimedia.org/wiki/File%3AThe_Monarch%2C_Austin%2C_TX%2C_cropped.JPG,https://upload.wikimedia.org/wikipedia/commons/f/fe/The_Monarch%2C_Austin%2C_TX%2C_cropped.JPG,public/assets-originals/buildings/monarch.jpg,public/buildings/monarch.webp,image/jpeg,182,353,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"AustinSkylineLouNeffPoint-2010-03-29-a.JPG: LoneStarMike
derivative work: Xnatedawgx (talk)",AustinSkylineLouNeffPoint-2010-03-29-a.JPG,ok,
building,Spring Condominiums,Spring Condominiums Austin,User-provided Spring Condominiums entrance image,,,/var/folders/r6/l8p94mf17dg0k9cb1mw560gr0000gn/T/codex-clipboard-028c21c7-db7a-45e8-b2af-4cd5b44bce14.png,public/buildings/spring-condominiums.png,image/png,1024,679,User provided,,User provided,User provided,ok,
building,Milago,Milago Austin,File:Milago.jpg,https://commons.wikimedia.org/wiki/File%3AMilago.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Milago.jpg,public/assets-originals/buildings/milago.jpg,public/buildings/milago.webp,image/jpeg,500,375,Public domain,,Kemachs,Self-photographed,ok,
building,The Bowie,The Bowie Austin,File:The Bowie Austin July 2015.JPG,https://commons.wikimedia.org/wiki/File%3AThe_Bowie_Austin_July_2015.JPG,https://upload.wikimedia.org/wikipedia/commons/f/fd/The_Bowie_Austin_July_2015.JPG,public/assets-originals/buildings/bowie.jpg,public/buildings/bowie.webp,image/jpeg,2592,3888,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Artem Kholopov,First publication,ok,
hotel,Hotel Van Zandt,Hotel Van Zandt hotel,File:Little steven schunk.jpg,https://commons.wikimedia.org/wiki/File%3ALittle_steven_schunk.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Little_steven_schunk.jpg,public/assets-originals/hotels/hotel-van-zandt.jpg,public/hotels/hotel-van-zandt.webp,image/jpeg,872,842,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Martin Olbrich,Own work,ok,
hotel,Austin Proper,Austin Proper Austin,File:Austin Proper 2021-08-10.jpg,https://commons.wikimedia.org/wiki/File%3AAustin_Proper_2021-08-10.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Austin_Proper_2021-08-10.jpg,public/assets-originals/hotels/austin-proper.jpg,public/hotels/austin-proper.webp,image/jpeg,1513,3323,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Xnatedawgx,Own work,ok,
hotel,Four Seasons,Four Seasons Austin,File:Four Seasons Private Residences Austin and Austin Marriott Downtown 2021-08-10.jpg,https://commons.wikimedia.org/wiki/File%3AFour_Seasons_Private_Residences_Austin_and_Austin_Marriott_Downtown_2021-08-10.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Four_Seasons_Private_Residences_Austin_and_Austin_Marriott_Downtown_2021-08-10.jpg,public/assets-originals/hotels/four-seasons.jpg,public/hotels/four-seasons.webp,image/jpeg,2887,3011,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Xnatedawgx,Own work,ok,
hotel,Hyatt Centric,Hyatt Centric Austin,File:Hyatt Centric Congress Avenue Austin (cropped).png,https://commons.wikimedia.org/wiki/File%3AHyatt_Centric_Congress_Avenue_Austin_%28cropped%29.png,https://upload.wikimedia.org/wikipedia/commons/e/ed/Hyatt_Centric_Congress_Avenue_Austin_%28cropped%29.png,public/assets-originals/hotels/hyatt-centric.png,public/hotels/hyatt-centric.webp,image/png,1941,3413,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Lily Wilkerson,Own work,ok,
hotel,Stephen F Austin,Stephen F Austin Austin,File:Stephen f austin.jpg,https://commons.wikimedia.org/wiki/File%3AStephen_f_austin.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Stephen_f_austin.jpg,public/assets-originals/hotels/stephen-f-austin.jpg,public/hotels/stephen-f-austin.webp,image/jpeg,1016,1207,Public domain,,Unknown authorUnknown author,Image courtesy of the Texas State Library and Archives Commission,ok,
hotel,Fairmont Austin,Fairmont Austin Austin,File:Fairmont Austin Under Construction 2017.jpg,https://commons.wikimedia.org/wiki/File%3AFairmont_Austin_Under_Construction_2017.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Fairmont_Austin_Under_Construction_2017.jpg,public/assets-originals/hotels/fairmont-austin.jpg,public/hotels/fairmont-austin.webp,image/jpeg,1500,2250,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Larry D. Moore,Own work,ok,
hotel,JW Marriott,JW Marriott Austin,File:JW Marriott Austin July 2015.JPG,https://commons.wikimedia.org/wiki/File%3AJW_Marriott_Austin_July_2015.JPG,https://upload.wikimedia.org/wikipedia/commons/2/26/JW_Marriott_Austin_July_2015.JPG,public/assets-originals/hotels/jw-marriott.jpg,public/hotels/jw-marriott.webp,image/jpeg,2592,3888,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Artem Kholopov,First publication,ok,
hotel,Thompson Austin,Thompson Austin Austin,File:Thompson Home Austin Texas 2023.jpg,https://commons.wikimedia.org/wiki/File%3AThompson_Home_Austin_Texas_2023.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/Thompson_Home_Austin_Texas_2023.jpg,public/assets-originals/hotels/thompson-austin.jpg,public/hotels/thompson-austin.webp,image/jpeg,3556,2000,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Larry D. Moore,Own work,ok,
hotel,Cambria Austin,Cambria Austin Austin,"File:La Libertad mine, Adelaide District, SLO County CA.jpg",https://commons.wikimedia.org/wiki/File%3ALa_Libertad_mine%2C_Adelaide_District%2C_SLO_County_CA.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/La_Libertad_mine%2C_Adelaide_District%2C_SLO_County_CA.jpg,public/assets-originals/hotels/cambria-austin.jpg,public/hotels/cambria-austin.webp,image/jpeg,1704,1382,No restrictions,https://www.flickr.com/commons/usage/,Internet Archive Book Images,"https://www.flickr.com/photos/internetarchivebookimages/14597036768/

Source book page: https://archive.org/stream/quicksilverresou00forsrich/quicksilverresou00forsrich#page/n192/mode/1up",ok,
hotel,Westin Austin Downtown,Westin Austin Downtown Austin,File:Westin Austin.jpg,https://commons.wikimedia.org/wiki/File%3AWestin_Austin.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Westin_Austin.jpg,public/assets-originals/hotels/westin-austin-downtown.jpg,public/hotels/westin-austin-downtown.webp,image/jpeg,2517,3138,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Sk5893,Own work,ok,
